Title,Alternative Title,Creator,RegDate,CollectionDb,SubjectCategory,SubjectKeyword,Extent,Description,SpatialCoverage,Temporal,Person,Language,SourceTitle,ReferenceIdentifier,Rights,CopyrightOthers,URL,Contributor,SubDescription
"느끼다,느낌,뉘앙스",,누리집,2023-05-24 11:04:42,일상생활수어,,,,,,,,,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627556/MOV000250584_215X161.jpg,,,http://sldict.korean.go.kr/front/sign/signContentsView.do?top_category=CTE&origin_no=6737,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627556/MOV000250584_700X466.mp4
장애인 기능 경진 대회,,누리집,2023-05-24 11:04:44,일상생활수어,,,,,,,,,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221101/1047216/MOV000361177_215X161.jpg,,,http://sldict.korean.go.kr/front/sign/signContentsView.do?top_category=CTE&origin_no=291,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221101/1047216/MOV000361177_700X466.mp4
"똑같다,같다,동일하다",,누리집,2023-05-24 11:04:44,일상생활수어,,,,,,,,,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201005/755319/MOV000240357_215X161.jpg,,,http://sldict.korean.go.kr/front/sign/signContentsView.do?top_category=CTE&origin_no=11052,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201005/755319/MOV000240357_700X466.mp4
"가난,곤궁,궁핍,빈곤",,누리집,2023-05-24 11:04:45,일상생활수어,,,,,,,,,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733641/MOV000249370_215X161.jpg,,,http://sldict.korean.go.kr/front/sign/signContentsView.do?top_category=CTE&origin_no=9471,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733641/MOV000249370_700X466.mp4
"반복,거듭,수시로,자꾸,자주,잦다,여러 번,연거푸",,누리집,2023-05-24 11:04:45,일상생활수어,,,,,,,,,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191018/628600/MOV000254160_215X161.jpg,,,http://sldict.korean.go.kr/front/sign/signContentsView.do?top_category=CTE&origin_no=7833,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191018/628600/MOV000254160_700X466.mp4
가치,,누리집,2023-05-24 11:04:45,일상생활수어,,,,,,,,,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734913/MOV000250048_215X161.jpg,,,http://sldict.korean.go.kr/front/sign/signContentsView.do?top_category=CTE&origin_no=6777,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734913/MOV000250048_700X466.mp4
의사소통,,누리집,2023-05-24 11:04:46,일상생활수어,,,,,,,,,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732261/MOV000246496_215X161.jpg,,,http://sldict.korean.go.kr/front/sign/signContentsView.do?top_category=CTE&origin_no=5905,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732261/MOV000246496_700X466.mp4
걷어차다,,누리집,2023-05-24 11:04:46,일상생활수어,,,,,,,,,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201210/784494/MOV000356918_215X161.jpg,,,http://sldict.korean.go.kr/front/sign/signContentsView.do?top_category=CTE&origin_no=1818,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201210/784494/MOV000356918_700X466.mp4
문화재,,누리집,2023-05-24 11:04:46,일상생활수어,,,,,,,,,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221012/1038680/MOV000360178_215X161.jpg,,,http://sldict.korean.go.kr/front/sign/signContentsView.do?top_category=CTE&origin_no=1508,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221012/1038680/MOV000360178_700X466.mp4
"방심,부주의",,누리집,2023-05-24 11:04:47,일상생활수어,,,,,,,,,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734983/MOV000254576_215X161.jpg,,,http://sldict.korean.go.kr/front/sign/signContentsView.do?top_category=CTE&origin_no=8389,,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734983/MOV000254576_700X466.mp4
